ds,yhat,yhat_lower,yhat_upper
2010-02-05,38317.00926526772,36212.20677205243,40275.80023020862
2010-02-12,38615.26863978526,36637.22013389068,40863.193958267446
2010-02-19,38716.20902862017,36588.91690813107,40700.15619945574
2010-02-26,38472.033330043734,36389.71033497823,40480.496525482726
2010-03-05,37809.46049337701,35790.75464083681,39722.58958701084
2010-03-12,36984.00034858816,35018.618528029765,38973.71953800031
2010-03-19,36438.294900405264,34512.534713989524,38527.078938253566
2010-03-26,36355.98433236055,34194.88883915457,38436.49419705514
2010-04-02,36445.10553704871,34341.84250781831,38461.65189794407
2010-04-09,36252.70868708853,34303.84697272079,38258.35813997612
2010-04-16,35676.96998070317,33636.771410641435,37615.16372520118
2010-04-23,35094.193817352774,33065.45872793466,37090.21836223147
2010-04-30,34964.17980325133,33023.828136574775,37054.0379253573
2010-05-07,35370.76114891304,33411.98957920359,37534.77275311799
2010-05-14,35989.8938757767,33898.54406185848,38063.61413586339
2010-05-21,36456.06345973766,34424.68121518356,38567.492833306416
2010-05-28,36676.91909539716,34535.39603902314,38673.03623160017
2010-06-04,36795.156718842,34735.00808600071,38810.28160390624
2010-06-11,36951.65307855222,34796.64341097917,38992.39022934007
2010-06-18,37174.75741599465,35134.32599395668,39219.83966646543
2010-06-25,37460.0789047637,35555.67810107794,39455.80179551444
2010-07-02,37833.85222411269,35872.00503410092,39957.045939549374
2010-07-09,38278.999186405395,36347.4628405264,40249.410973396516
2010-07-16,38670.28177908659,36606.63771944812,40666.6778175703
2010-07-23,38883.452775003236,37009.14356663457,40996.68128240135
2010-07-30,38966.154220355726,36849.43733512934,40953.75668504056
2010-08-06,39103.077658062684,37255.82818704522,41099.83797134665
2010-08-13,39356.08911091379,37385.626768589034,41442.735608250754
2010-08-20,39510.62509184928,37574.60437168948,41532.83305804546
2010-08-27,39296.866843821736,37311.64315374733,41382.80601797413
2010-09-03,38776.99672242756,36761.73779061483,40821.71042520016
2010-09-10,38398.36533810414,36551.610453911235,40536.9571596071
2010-09-17,38552.79938200087,36569.52725822167,40510.91898772938
2010-09-24,39103.19430859342,36966.424120246214,41033.07842131656
2010-10-01,39457.11912679775,37386.34043438969,41508.96321171827
2010-10-08,39161.1081194849,37160.853370257144,41137.06991385968
2010-10-15,38353.355245785395,36322.01553614107,40380.03992969742
2010-10-22,37547.560224703695,35607.51749150321,39523.3806801559
2010-10-29,37013.67350072133,35000.53963442853,39050.99681100347
2010-11-05,36520.20121192632,34532.980384551636,38596.29869901648
2010-11-12,35767.173112202814,33725.4064515459,37828.54433208957
2010-11-19,34966.77060150597,32995.74193799756,37080.960767672346
2010-11-26,34792.81676892223,32641.719334475485,36764.49257077017
2010-12-03,35655.37156291582,33535.909080048084,37627.00621070439
2010-12-10,37107.57647033704,34962.37108454902,39044.858673733426
2010-12-17,38119.717702967886,36161.00873926359,40290.50854555416
2010-12-24,38001.64775937163,36010.72059966507,40000.273089791444
2010-12-31,37017.6649770166,35068.92572767469,39063.79978790583
2011-01-07,36072.1398955933,34176.378861829544,38177.73743442663
2011-01-14,35850.7502235417,33736.017812922706,37767.816452699604
2011-01-21,36323.116826970974,34210.09424800968,38328.387334476705
2011-01-28,37007.91463221864,35040.745255750655,39180.375529624085
2011-02-04,37539.73915442821,35473.82845408122,39567.68544471027
2011-02-11,37869.03095659123,35957.40769903383,39769.2826542271
2011-02-18,38012.91791615352,35986.2472967393,39939.87950408118
2011-02-25,37842.540268840705,35828.2772735431,40017.061365108035
2011-03-04,37246.41419601446,35097.62053092988,39390.44197773806
2011-03-11,36417.63476319423,34410.46968367301,38381.16062571859
2011-03-18,35795.35940303714,33672.555792771534,37822.121486454
2011-03-25,35639.236532151815,33644.51804983991,37700.410422530294
2011-04-01,35735.401631772635,33684.981922356004,37860.48498720059
2011-04-08,35617.73836619885,33542.15496054884,37400.1680296318
2011-04-15,35095.51646255556,32979.89838470489,37166.52430571418
2011-04-22,34477.06820928196,32432.869847293758,36656.10924065135
2011-04-29,34251.76798359397,32290.919596024138,36186.36617627239
2011-05-06,34584.186254340566,32603.820487871228,36576.711138080565
2011-05-13,35202.857422291985,33070.67267313841,37351.11523561758
2011-05-20,35718.741011355385,33703.576660564686,37723.35627629006
2011-05-27,35982.8865878609,33954.81433988202,37964.209988541494
2011-06-03,36118.37274623524,34191.54513862342,38146.5248957034
2011-06-10,36275.205762157115,34320.27080354965,38474.81071348556
2011-06-17,36499.51484597597,34471.85161991357,38651.24693539972
2011-06-24,36784.52347238131,34776.381672536074,38931.25479150647
2011-07-01,37159.78580799726,35247.80594447959,39318.04644533993
2011-07-08,37617.43052895607,35477.20366287774,39692.22689075083
2011-07-15,38048.96638119051,35948.15146048112,40051.53771665582
2011-07-22,38315.53833705908,36083.35650671427,40301.76887264654
2011-07-29,38428.07083021661,36411.079720984584,40435.37636960919
2011-08-05,38569.583933068374,36622.47364773736,40789.28915970149
2011-08-12,38836.395323755176,36601.474135401106,40706.266150211326
2011-08-19,39058.28598624261,37151.049806910545,41000.287963667535
2011-08-26,38945.24097790939,36946.13192341706,41137.63827097766
2011-09-02,38487.76172651273,36532.93239891021,40547.12204575196
2011-09-09,38078.60965530509,35942.128052937944,40043.076172897556
2011-09-16,38162.51436554959,36161.118058737295,40083.09152754168
2011-09-23,38711.639575380264,36646.35858429298,40628.477440818526
2011-09-30,39179.78911265113,37053.673116464655,41117.427111002
2011-10-07,39045.4860136216,37032.2464776469,41013.67334127366
2011-10-14,38331.850054851304,36282.031318172245,40446.389125383284
2011-10-21,37528.83931555329,35540.3682999566,39557.35638996412
2011-10-28,36988.51806301543,34986.476216379684,39112.037105742595
2011-11-04,36556.64810905178,34469.220252873616,38550.43489443367
2011-11-11,35893.10435115356,33816.594015881376,37952.33632874676
2011-11-18,35097.47050632753,32915.323639859605,37195.33419175555
2011-11-25,34802.21682751822,32653.498316740443,36730.40092119327
2011-12-02,35525.148599448505,33326.91043857697,37471.66318852246
2011-12-09,36980.94598164167,34974.708341774465,39154.00122920723
2011-12-16,38184.2140989808,36162.37419566544,40331.988911187174
2011-12-23,38317.0599213363,36208.7669023898,40348.5566953904
2011-12-30,37468.803674233546,35275.02146021199,39456.721724119685
2012-01-06,36488.57236771023,34517.10182387817,38434.26971759802
2012-01-13,36158.50063928284,34078.79600489932,38253.3599263745
2012-01-20,36576.69928230288,34482.654181163256,38583.97862946676
2012-01-27,37299.19719242624,35179.22699728303,39285.950354153596
2012-02-03,37908.98495666396,35970.59276980845,39885.895392971324
2012-02-10,38310.10918595881,36189.56874649198,40278.214914977616
2012-02-17,38531.860172992194,36381.8772788658,40395.18105275738
2012-02-24,38470.338796535274,36437.29936346883,40571.08269464335
2012-03-02,37986.51461464129,35932.83505506081,40074.95342835358
2012-03-09,37209.28720031397,35250.02973834433,39226.957117285754
2012-03-16,36559.21198780722,34587.10037130222,38536.67987261002
2012-03-23,36361.282113874855,34393.53682008776,38366.617214818565
2012-03-30,36484.09832702361,34463.30444965387,38610.24866450196
2012-04-06,36470.410608879,34360.40953836702,38468.80253073863
2012-04-13,36048.53748897515,34020.966444023274,38015.21113437687
2012-04-20,35447.38723720665,33516.737863134906,37553.06132560265
2012-04-27,35159.851628033175,33013.82419339294,37134.9090607052
2012-05-04,35435.75825020323,33476.2612438917,37414.09399604525
2012-05-11,36067.80677117747,34025.84251581576,37954.31867627544
2012-05-18,36655.94665418077,34655.00531680815,38732.10501478891
2012-05-25,36995.16162012558,34966.20320802163,39092.37648224469
2012-06-01,37168.59168576302,35097.27582449981,39189.60701826069
2012-06-08,37342.28709802557,35288.838176646634,39483.61640877227
2012-06-15,37582.58651950899,35579.577202822526,39637.196748979826
2012-06-22,37883.48617687708,35814.926427924605,40006.034757380075
2012-06-29,38262.373589984934,36149.257277768855,40296.73602813484
2012-07-06,38730.706390192696,36671.53343896544,40555.41490561728
2012-07-13,39199.353585066,37079.10736782768,41258.257435333246
2012-07-20,39521.46074947062,37354.62072606539,41550.352888628135
2012-07-27,39672.028962007105,37667.61230273395,41796.89154966464
2012-08-03,39809.42463235866,37695.49783529133,42010.229543508845
2012-08-10,40071.49704471362,38002.46934836069,42110.63886944071
2012-08-17,40337.600766433745,38434.50682674086,42468.27621637106
2012-08-24,40311.59056032902,38266.375653079675,42323.81399465622
2012-08-31,39903.96204850133,37978.44816631573,41962.28695125122
2012-09-07,39453.679279928874,37445.63175992833,41485.817068366145
2012-09-14,39439.95093604133,37430.644176031186,41523.973469214914
2012-09-21,39942.36918860556,37826.2475395918,41971.18632396501
2012-09-28,40479.9522709231,38485.857398654436,42551.38116073919
2012-10-05,40473.34778235232,38389.02914228497,42459.75796648938
2012-10-12,39836.14463470205,37935.57081724784,41853.70115162729
2012-10-19,39013.133885790245,37006.26422601937,40980.14031436406
2012-10-26,38425.21259050251,36477.085600675025,40396.010022124494
2012-10-28,38302.87150392752,36320.97196091737,40236.37867690644
2012-11-04,37859.23518595613,35716.300321925046,39866.984698273714
2012-11-11,37165.139816694296,35129.57714098614,39145.08269485321
2012-11-18,36387.6063770081,34262.332982284024,38426.56852595899
2012-11-25,36186.85254547365,34089.628096944834,38265.221138040215
2012-12-02,37018.78700037774,34866.47557653994,38946.23944084288
2012-12-09,38500.374426004564,36346.603630205034,40559.09811584074
2012-12-16,39615.8323142537,37562.732838047494,41498.98844572549
2012-12-23,39621.07040213145,37646.7383235327,41748.50225521668
2012-12-30,38711.42317259663,36576.767675974355,40755.79851204546
2013-01-06,37772.74736290428,35681.60009466109,39844.36806504354
2013-01-13,37531.60005666498,35570.933514974604,39600.979316214376
