ds,yhat,yhat_lower,yhat_upper
2010-02-05,3636.45972145793,1559.8745086535262,5505.879482274227
2010-02-12,4755.463404766882,2904.7375660776693,6657.531246474216
2010-02-19,6461.951187308026,4477.6214029190905,8399.617158805184
2010-02-26,8589.233257522439,6617.444940959927,10625.745694968678
2010-03-05,10815.120604381756,8729.202170514323,12679.46792502082
2010-03-12,12789.178099012694,10931.657452162519,14673.84304758794
2010-03-19,14195.725989774797,12145.330904547076,15927.81471817615
2010-03-26,14821.08059753809,12890.211893938915,16760.296840482504
2010-04-02,14659.357840567558,12595.692286930864,16546.208108989034
2010-04-09,13946.81553491296,12130.372498192763,16056.842819333662
2010-04-16,13021.063160935217,10921.58092501356,14836.491777580779
2010-04-23,12107.314433249052,10165.319397423655,14068.112090097095
2010-04-30,11263.619450281134,9390.90857332054,13089.283523927266
2010-05-07,10543.286248726448,8570.393616018942,12476.1844021557
2010-05-14,10136.481260707598,8316.296846174548,12165.52529462573
2010-05-21,10238.642031650415,8253.282561638269,12130.188468133516
2010-05-28,10744.829753155227,8769.496571647682,12743.291009326338
2010-06-04,11168.44903832204,9106.120545194452,12979.108485947785
2010-06-11,10999.802180468487,9138.979207858669,12777.601257737888
2010-06-18,10198.227038049146,8157.331096036969,12132.364715057354
2010-06-25,9270.44950779808,7384.501577856468,11320.79569917119
2010-07-02,8782.915705197045,6732.52386498313,10877.785416873052
2010-07-09,8788.941490490295,6892.630726814329,10762.950703364242
2010-07-16,8786.007368572808,6792.497067261451,10623.364278027817
2010-07-23,8256.655249519834,6309.639883948655,10309.059352925868
2010-07-30,7206.288704640921,5235.288062035987,9137.29997166321
2010-08-06,6126.021791103362,4089.311874741231,8094.165199688866
2010-08-13,5461.012330140838,3561.169539117146,7475.461390983951
2010-08-20,5198.911653099515,3092.056278024767,7300.567409265102
2010-08-27,5005.930331799073,3033.9159242378582,6871.912176247662
2010-09-03,4682.154661332006,2675.4207105686055,6653.613332326345
2010-09-10,4368.6464088926405,2496.0379308797874,6376.297553643084
2010-09-17,4289.526359013031,2191.751842152074,6120.929074329632
2010-09-24,4391.5817961953835,2368.325430114246,6353.169254335322
2010-10-01,4346.699410959578,2493.6356417659545,6153.196254686483
2010-10-08,3914.4652012222386,1876.5992049275078,5828.784900630201
2010-10-15,3220.6524840117245,1172.643788378064,5188.066245765914
2010-10-22,2623.4806411806994,570.8189498863657,4469.411700570594
2010-10-29,2341.542708124881,552.5109850001809,4229.622684577302
2010-11-05,2279.043608120989,417.8312862767551,4203.137055236728
2010-11-12,2211.2151215666363,231.93667906921965,4050.425583996478
2010-11-19,2057.565614657894,119.94823148869709,4033.830872860301
2010-11-26,1911.1530054583918,-77.69370657478134,3862.740133893512
2010-12-03,1841.8576577532613,-74.3335135019269,3680.679631458639
2010-12-10,1776.3377304920386,-197.70660809262264,3745.945631272492
2010-12-17,1622.723373396534,-444.57359877881555,3681.054641179209
2010-12-24,1458.0752747431025,-340.49209925593533,3385.88728539632
2010-12-31,1501.68578280993,-482.8093892615357,3469.3119275736303
2011-01-07,1878.762793108829,-15.457733523522096,3722.62335473102
2011-01-14,2465.3200128647222,439.9075000616966,4459.086733060346
2011-01-21,3022.9502419863534,1155.9658247085765,4974.038060062216
2011-01-28,3483.734734565422,1542.7587972285435,5534.389420225653
2011-02-04,4062.6867527025183,2123.7651847378042,6072.345091991465
2011-02-11,5079.86745894235,3089.5661571082637,6958.523967753262
2011-02-18,6687.12698704645,4880.065629419244,8599.819809081098
